"","Country","obrate","ppgdp","uwchildren","education_xp","inflation","gini_index","pop_growth","internet_users","health_xp","birth_rate","elec_consum","fertility","youth_unemployment","population","ppimports"
"1","Afghanistan",0.0148309178743961,1000,32.9,NA,7.7,NA,2.22,1e+06,7.4,39.3,2.226e+09,5.64,NA,30419928,300.855412938518
"2","Albania",0.215380710659898,7800,6.6,NA,3.5,34.5,0.28,1300000,6.9,12.38,4.521e+09,1.48,35.5,3002859,1690.38905922656
"3","Algeria",0.10950495049505,7400,3.7,4.3,4.5,35.3,1.17,4700000,5.8,16.64,3.139e+10,2.78,24.3,37367226,1182.58711524372
"4","Andorra",0.236666666666667,37200,NA,3.2,1.6,NA,0.27,67100,7.7,9.26,598700000,1.36,NA,85082,17324.4634587809
"5","Angola",0.0555329949238579,6000,27.5,2.6,13.5,NA,2.78,606700,4.6,39.36,3.659e+09,5.54,NA,18056072,1204.02709958179
"6","Antigua and Barbuda",0.188421052631579,18200,NA,2.7,3.3,NA,1.28,65000,5.1,16.19,1.07e+08,2.05,19.9,89018,4913.61297715069
"7","Argentina",0.375102040816326,17700,2.3,4.9,22,45.8,1,13694000,9.5,17.34,1.042e+11,2.29,21.2,42192494,1676.36452113971
"8","Armenia",0.162780748663102,5500,4.2,3,7.7,30.9,0.11,208200,4.7,12.9,5.8e+09,1.38,57.6,2970495,1179.26473533872
"9","Australia",0.164,40800,NA,4.5,3.4,30.5,1.13,15810000,8.5,12.28,2.288e+11,1.77,11.6,22015576,11055.8088509699
"10","Austria",0.11,42400,NA,5.4,3.5,26,0.03,6143000,11,8.69,6.151e+10,1.41,10,8219743,22299.9672860818
"11","Azerbaijan",0.201020408163265,10300,8.4,2.8,8.1,33.7,1.02,2420000,5.8,17.3,1.348e+10,1.92,14.4,9493600,1071.24799865172
"12","Bahamas, The",0.29,31400,NA,NA,3.2,NA,0.9,115800,7.2,15.95,1.808e+09,1.98,18.9,316182,9026.44679330259
"13","Bahrain",0.282340425531915,27900,NA,2.9,-0.4,NA,2.65,419500,4.5,14.41,1.106e+10,1.86,20.1,1248348,9700.82060451092
"14","Bangladesh",0,1700,41.3,2.4,10.7,33.2,1.58,617300,3.4,22.53,3.483e+10,2.55,9.3,161083804,197.102372874184
"15","Barbados",0.400412371134021,23700,NA,6.7,9.1,NA,0.35,188000,6.8,12.23,9.55e+08,1.68,26.2,287733,5386.93858542468
"16","Belarus",0.245561497326203,15200,1.3,4.5,52.4,27.2,-0.36,2643000,5.8,9.73,2.954e+10,1.45,NA,9643566,4373.90069192247
"17","Belgium",0.108,38200,NA,6,3.5,28,0.06,8113000,11.8,10.03,7.853e+10,1.65,21.9,10438353,34018.7767169782
"18","Belize",0.149405940594059,8400,4.9,5.7,1.8,NA,2.01,36000,3.3,26.02,285700000,3.15,19.5,327719,2361.47431183422
"19","Benin",0.0695049504950495,1500,20.2,3.5,2.7,36.5,2.88,200100,4.2,37.55,7.78e+08,5.22,0.8,9598787,230.549964281945
"20","Bhutan",0.117169811320755,6200,12,4.8,7.7,NA,1.18,50000,5.5,18.75,1.161e+09,2.13,6.3,716896,1176.32125161809
"21","Bolivia",0.295527638190955,4900,4.3,6.3,9.9,58.2,1.66,1103000,4.8,24.24,6.301e+09,2.93,9.2,10290003,739.84429353422
